label,all_landmarks_visible,thumb_extended,index_extended,middle_extended,ring_extended,pinky_extended,wrist_dx_t0,wrist_dy_t0,wrist_vx_t0,wrist_vy_t0,wrist_ax_t0,wrist_ay_t0,index_tip_dx_t0,index_tip_dy_t0,index_tip_vx_t0,index_tip_vy_t0,index_tip_ax_t0,index_tip_ay_t0,wrist_dx_t1,wrist_dy_t1,wrist_vx_t1,wrist_vy_t1,wrist_ax_t1,wrist_ay_t1,index_tip_dx_t1,index_tip_dy_t1,index_tip_vx_t1,index_tip_vy_t1,index_tip_ax_t1,index_tip_ay_t1,wrist_dx_t2,wrist_dy_t2,wrist_vx_t2,wrist_vy_t2,wrist_ax_t2,wrist_ay_t2,index_tip_dx_t2,index_tip_dy_t2,index_tip_vx_t2,index_tip_vy_t2,index_tip_ax_t2,index_tip_ay_t2
0,1,1,1,1,1,1,-0.00071,0.41823,0.04317,0.49244,-1e-05,0.00697,0.00072,0.00821,0.0,0.0,0.0,0.0,0.06516,-0.08123,0.05943,0.15854,0.00109,-0.00135,0.00099,0.00264,2e-05,-0.00014,0.0,-9e-05,-0.09948,0.22998,-0.142,0.36392,-0.00166,0.00383,-0.00237,0.00607,-5e-05,9e-05,-6e-05,6e-05
0,1,1,1,1,1,1,0.05401,-0.0305,-0.01376,0.08601,0.0009,-0.00051,-0.00023,0.00143,0.0,0.0,0.0,0.0,-0.03954,0.01856,-0.03586,-0.10828,-0.00066,0.00031,-0.0006,-0.0018,-3e-05,1e-05,-1e-05,-5e-05,0.00163,-0.007,-0.02089,0.19571,3e-05,-0.00012,-0.00035,0.00326,1e-05,-1e-05,0.0,8e-05
0,1,1,1,1,1,1,0.08395,-0.0667,0.08953,0.1804,0.0014,-0.00111,0.00149,0.00301,0.0,0.0,0.0,0.0,-0.1694,0.29825,-0.14666,0.35091,-0.00282,0.00497,-0.00244,0.00585,-7e-05,0.0001,-7e-05,5e-05,0.15946,-0.17337,0.16742,-0.55438,0.00266,-0.00289,0.00279,-0.00924,9e-05,-0.00013,9e-05,-0.00025
0,1,1,1,1,1,1,-0.01198,-0.03079,-0.0348,0.17275,-0.0002,-0.00051,-0.00058,0.00288,0.0,0.0,0.0,0.0,-0.01169,0.11263,-0.02289,0.06892,-0.00019,0.00188,-0.00038,0.00115,0.0,4e-05,0.0,-3e-05,-0.11575,-0.15702,-0.08461,-0.23187,-0.00193,-0.00262,-0.00141,-0.00386,-3e-05,-7e-05,-2e-05,-8e-05
0,1,1,1,1,1,1,-0.03064,0.00855,-0.04287,-0.09722,-0.00051,0.00014,-0.00071,-0.00162,0.0,0.0,0.0,0.0,-0.00238,-0.00355,-0.02259,0.19483,-4e-05,-6e-05,-0.00038,0.00325,1e-05,-0.0,1e-05,8e-05,-0.0224,-0.13608,-0.13105,-0.09226,-0.00037,-0.00227,-0.00218,-0.00154,-1e-05,-4e-05,-3e-05,-8e-05
0,1,1,0,0,0,0,-0.07721,0.1957,-0.1231,0.24401,-0.00129,0.00326,-0.00205,0.00407,0.0,0.0,0.0,0.0,0.15239,-0.21463,0.25743,-0.37182,0.00254,-0.00358,0.00429,-0.0062,6e-05,-0.00011,0.00011,-0.00017,-0.18846,-0.07821,-0.29352,-0.05739,-0.00314,-0.0013,-0.00489,-0.00096,-9e-05,4e-05,-0.00015,9e-05
0,1,1,1,1,1,1,-0.01406,0.0084,-0.03231,0.1946,-0.00023,0.00014,-0.00054,0.00324,0.0,0.0,0.0,0.0,-0.12462,-0.13227,-0.22812,-0.07099,-0.00208,-0.0022,-0.0038,-0.00118,-3e-05,-4e-05,-5e-05,-7e-05,0.25814,-0.06371,0.38941,-0.16898,0.0043,-0.00106,0.00649,-0.00282,0.00011,2e-05,0.00017,-3e-05
0,1,1,1,1,1,1,0.12634,-0.265,0.11645,-0.261,0.00211,-0.00442,0.00194,-0.00435,0.0,0.0,0.0,0.0,0.08009,-0.08525,0.20013,-0.12468,0.00133,-0.00142,0.00334,-0.00208,-1e-05,5e-05,2e-05,4e-05,-0.24368,-0.07173,-0.23525,-0.01276,-0.00406,-0.0012,-0.00392,-0.00021,-9e-05,0.0,-0.00012,3e-05
0,1,1,0,0,0,0,-0.23881,-0.133,-0.30474,-0.11011,-0.00398,-0.00222,-0.00508,-0.00184,0.0,0.0,0.0,0.0,0.21743,-0.0648,0.1413,0.01991,0.00362,-0.00108,0.00236,0.00033,0.00013,2e-05,0.00012,4e-05,-0.01804,0.11909,0.02663,0.02524,-0.0003,0.00198,0.00044,0.00042,-7e-05,5e-05,-3e-05,0.0
0,1,1,1,0,0,1,0.2454,-0.13194,0.36449,-0.14032,0.00409,-0.0022,0.00607,-0.00234,0.0,0.0,0.0,0.0,-0.1672,-0.02557,-0.16497,-0.06065,-0.00279,-0.00043,-0.00275,-0.00101,-0.00011,3e-05,-0.00015,2e-05,-0.02143,0.08465,-0.09249,0.13061,-0.00036,0.00141,-0.00154,0.00218,4e-05,3e-05,2e-05,5e-05
