label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,34,178.272,2.971,-1.379,141.032,146.455,171.759,168.077,161.31,145.825,1.084
0,35,177.485,2.958,-1.372,147.801,142.843,166.018,164.924,157.258,140.89,1.076
0,42,175.111,2.919,-1.329,146.731,137.888,159.731,157.709,149.03,136.894,1.08
0,37,169.098,2.818,-1.35,135.68,134.469,153.447,149.683,141.057,133.004,1.086
0,35,157.927,2.632,-1.347,126.909,133.004,154.029,152.611,147.122,137.768,1.056
0,28,150.625,2.51,-1.384,99.85,127.287,149.563,146.891,144.014,135.713,1.052
0,18,140.161,2.336,-1.442,81.541,119.331,134.648,132.91,130.246,125.16,1.04
0,8,138.232,2.304,-1.513,68.352,121.264,132.412,129.283,122.262,115.117,1.083
0,-4,137.058,2.284,-1.6,59.481,135.104,148.476,144.641,137.713,128.316,1.085
0,-23,140.89,2.348,-1.735,50.09,130.231,151.611,147.963,141.598,129.387,1.086
0,-41,139.176,2.32,-1.87,40.719,125.897,148.034,148.678,142.425,129.468,1.056
0,-64,142.215,2.37,-2.038,27.459,121.754,145.362,146.564,139.807,128.141,1.052
0,-82,142.056,2.368,-2.186,9.849,121.017,142.215,141.908,135.624,122.332,1.067
0,-98,148.822,2.48,-2.29,39.459,117.456,135.595,137.361,132.85,120.15,1.042
0,-106,146.414,2.44,-2.38,75.06,115.434,137.768,138.322,133.843,125.144,1.04
0,-108,143.178,2.386,-2.425,119.105,116.692,137.295,135.595,131.381,120.702,1.062
0,-115,150.446,2.507,-2.441,148.492,113.217,135.532,130.081,126.479,119.507,1.081
0,-120,148.809,2.48,-2.509,169.106,118.802,146.697,141.4,135.3,125.897,1.093
0,-122,146.441,2.441,-2.555,188.521,113.899,143.6,139.058,133.184,121.926,1.093
0,-115,135.68,2.261,-2.582,190.704,120.917,148.499,147.513,140.289,127.769,1.072
0,-107,119.854,1.998,-2.674,187.926,117.456,145.836,145.911,137.131,124.169,1.074
0,-90,98.087,1.635,-2.733,170.848,116.276,146.697,146.891,137.131,121.198,1.086
0,-81,84.481,1.408,-2.854,150.841,116.387,148.499,149.833,138.13,121.926,1.087
